time s
3.78879 -0.44617
3.79379 -0.43960
3.79880 -0.43264
3.80380 -0.42532
3.80881 -0.41765
3.81381 -0.40963
3.81882 -0.40128
3.82382 -0.39262
3.82883 -0.38366
3.83383 -0.37441
3.83884 -0.36489
3.84384 -0.35511
3.84885 -0.34509
3.85385 -0.33484
3.85886 -0.32437
3.86386 -0.31370
3.86887 -0.30284
3.87387 -0.29181
3.87888 -0.28063
3.88388 -0.26930
3.88889 -0.25785
3.89389 -0.24628
3.89890 -0.23462
3.90390 -0.22287
3.90891 -0.21106
3.91391 -0.19919
3.91892 -0.18728
3.92392 -0.17534
3.92893 -0.16339
3.93393 -0.15145
3.93894 -0.13951
3.94394 -0.12761
3.94895 -0.11575
3.95395 -0.10394
3.95896 -0.09220
3.96396 -0.08054
3.96897 -0.06897
3.97397 -0.05751
3.97898 -0.04616
3.98398 -0.03494
3.98899 -0.02385
3.99399 -0.01291
3.99900 -0.00214
4.00400 0.00847
4.00901 0.01890
4.01401 0.02915
4.01902 0.03919
4.02402 0.04904
4.02903 0.05866
4.03403 0.06807
4.03904 0.07725
4.04404 0.08619
4.04905 0.09489
4.05405 0.10334
4.05906 0.11154
4.06406 0.11948
4.06907 0.12715
4.07407 0.13455
4.07908 0.14168
4.08408 0.14853
4.08909 0.15510
4.09409 0.16139
4.09910 0.16738
4.10410 0.17309
4.10911 0.17851
4.11411 0.18363
4.11912 0.18846
4.12412 0.19300
4.12913 0.19724
4.13413 0.20119
4.13914 0.20484
4.14414 0.20820
4.14915 0.21127
4.15415 0.21404
4.15916 0.21653
4.16416 0.21872
4.16917 0.22064
4.17417 0.22227
4.17918 0.22362
4.18418 0.22470
4.18919 0.22550
4.19419 0.22604
4.19920 0.22631
4.20420 0.22632
4.20921 0.22608
4.21421 0.22559
4.21922 0.22485
4.22422 0.22388
4.22923 0.22267
4.23423 0.22124
4.23924 0.21958
4.24424 0.21771
4.24925 0.21562
4.25425 0.21334
4.25926 0.21086
4.26426 0.20819
4.26927 0.20534
4.27427 0.20231
4.27928 0.19912
4.28428 0.19576
4.28929 0.19225
4.29429 0.18860
4.29930 0.18480
4.30430 0.18088
4.30931 0.17683
4.31431 0.17266
4.31932 0.16839
4.32432 0.16401
4.32933 0.15954
4.33433 0.15498
4.33934 0.15035
4.34434 0.14564
4.34935 0.14087
4.35435 0.13604
4.35936 0.13117
4.36436 0.12625
4.36937 0.12129
4.37437 0.11631
4.37938 0.11131
4.38438 0.10629
4.38939 0.10126
4.39439 0.09624
4.39940 0.09121
4.40440 0.08620
4.40941 0.08121
4.41441 0.07624
4.41942 0.07130
4.42442 0.06640
4.42943 0.06153
4.43443 0.05671
4.43944 0.05195
4.44444 0.04724
4.44945 0.04259
4.45445 0.03800
4.45946 0.03349
4.46446 0.02905
4.46947 0.02469
4.47447 0.02041
4.47948 0.01622
4.48448 0.01212
4.48949 0.00811
4.49449 0.00419
4.49950 0.00038
4.50450 -0.00334
4.50951 -0.00695
4.51451 -0.01045
4.51952 -0.01385
4.52452 -0.01713
4.52953 -0.02030
4.53453 -0.02336
4.53954 -0.02631
4.54454 -0.02914
4.54955 -0.03185
4.55455 -0.03444
4.55956 -0.03692
4.56456 -0.03928
4.56957 -0.04152
4.57457 -0.04364
4.57958 -0.04564
4.58458 -0.04753
4.58959 -0.04930
4.59459 -0.05095
4.59960 -0.05248
4.60460 -0.05390
4.60961 -0.05521
4.61461 -0.05640
4.61962 -0.05748
4.62462 -0.05845
4.62963 -0.05932
4.63463 -0.06007
4.63964 -0.06072
4.64464 -0.06127
4.64965 -0.06172
4.65465 -0.06207
4.65966 -0.06233
4.66466 -0.06249
4.66967 -0.06256
4.67467 -0.06254
4.67968 -0.06244
4.68468 -0.06225
4.68969 -0.06198
4.69469 -0.06164
4.69970 -0.06121
4.70470 -0.06072
4.70971 -0.06016
4.71471 -0.05953
4.71972 -0.05884
4.72472 -0.05809
4.72973 -0.05728
4.73473 -0.05642
4.73974 -0.05550
4.74474 -0.05454
4.74975 -0.05353
4.75475 -0.05248
4.75976 -0.05140
4.76476 -0.05027
4.76977 -0.04912
4.77477 -0.04793
4.77978 -0.04671
4.78478 -0.04548
4.78979 -0.04422
4.79479 -0.04294
4.79980 -0.04164
4.80480 -0.04034
4.80981 -0.03902
4.81481 -0.03769
4.81982 -0.03636
4.82482 -0.03502
4.82983 -0.03369
4.83483 -0.03236
4.83984 -0.03103
4.84484 -0.02970
4.84985 -0.02839
4.85485 -0.02709
4.85986 -0.02579
4.86486 -0.02452
4.86987 -0.02325
4.87487 -0.02201
4.87988 -0.02079
4.88488 -0.01958
4.88989 -0.01840
4.89489 -0.01724
4.89990 -0.01611
4.90490 -0.01500
4.90991 -0.01393
4.91491 -0.01288
4.91992 -0.01186
4.92492 -0.01087
4.92993 -0.00991
4.93493 -0.00898
4.93994 -0.00808
4.94494 -0.00722
4.94995 -0.00639
4.95495 -0.00560
4.95996 -0.00484
4.96496 -0.00411
4.96997 -0.00342
4.97497 -0.00277
4.97998 -0.00214
4.98498 -0.00156
4.98999 -0.00100
4.99499 -0.00048
5.00000 -0.00000
